PlayerID,FG,FGA,3P,3PA,FT,FTA,FG%,3P%,FT%
barlodo01,1.7,3.2,0.2,0.8,0.6,0.9,0.531,0.259,0.636
edwarke02,1.7,3.4,0.6,1.4,0.3,0.3,0.496,0.407,0.923
ighodos01,1.9,3.1,0.0,0.0,0.5,0.8,0.604,0.0,0.58
murrakr01,1.7,4.0,0.4,1.7,0.4,0.8,0.419,0.225,0.456
reathdu01,1.5,3.6,0.7,2.3,0.4,0.5,0.422,0.321,0.909
spencca01,1.4,3.3,0.8,2.1,0.8,0.8,0.415,0.365,1.0
lewisma05,1.6,3.9,0.7,1.8,0.3,0.4,0.417,0.38,0.7
lewisma05,0.3,0.9,0.0,0.0,0.0,0.0,0.333,,
lewisma05,2.0,4.9,0.9,2.4,0.3,0.5,0.422,0.38,0.7
clarkja02,1.4,3.0,0.6,1.3,0.7,0.9,0.467,0.431,0.784
houstca01,1.4,3.3,1.1,2.8,0.3,0.3,0.421,0.4,0.882
millejo02,1.6,3.6,0.2,1.0,0.8,0.9,0.433,0.211,0.8
pickeja02,1.6,3.7,0.8,2.1,0.1,0.2,0.428,0.396,0.75
reedpa01,1.6,3.2,0.2,0.6,0.7,0.9,0.507,0.286,0.762
santogu01,1.5,3.2,0.6,1.8,0.5,0.8,0.458,0.33,0.69
vandeja01,1.6,3.4,0.3,0.9,0.6,1.0,0.488,0.281,0.556
jonesco02,1.5,3.3,0.4,1.3,0.6,0.9,0.457,0.327,0.657
jonesco02,0.5,1.1,0.2,0.4,0.0,0.0,0.423,0.4,
jonesco02,3.2,6.9,0.8,2.6,1.5,2.3,0.466,0.308,0.657
batumni01,1.3,3.1,1.1,2.6,0.2,0.3,0.437,0.433,0.81
flynnma01,1.3,3.3,0.3,1.0,1.3,1.5,0.385,0.25,0.833
harpero02,1.0,8.0,0.0,6.0,2.0,2.0,0.125,0.0,1.0
richajo01,1.4,4.8,0.8,2.8,0.5,0.5,0.289,0.273,1.0
adamsst01,1.6,2.9,0.0,0.0,0.7,1.6,0.545,0.0,0.462
lowryky01,1.2,3.3,0.8,2.5,0.8,0.9,0.35,0.33,0.818
prospol01,1.3,3.3,0.2,1.0,0.9,1.5,0.402,0.235,0.645
millspa02,1.2,3.3,0.9,2.6,0.4,0.5,0.375,0.347,0.929
millspa02,1.5,4.5,1.0,3.4,0.3,0.3,0.342,0.298,1.0
millspa02,0.8,1.7,0.8,1.5,0.7,0.8,0.5,0.5,0.889
carlsbr01,1.3,3.0,0.7,2.1,0.4,0.6,0.443,0.333,0.778
cartede02,1.3,3.5,0.5,1.7,0.7,1.2,0.37,0.295,0.591
diengou01,1.5,3.4,0.6,1.9,0.3,0.4,0.432,0.324,0.688
morrima02,1.4,4.7,0.6,2.4,0.3,0.4,0.3,0.25,0.833
morrima02,0.7,3.1,0.3,1.9,0.0,0.0,0.227,0.154,
morrima02,2.0,6.0,0.9,2.9,0.6,0.8,0.333,0.304,0.833
batesem01,1.3,3.8,1.1,3.0,0.0,0.0,0.342,0.367,
jordade01,1.6,2.5,0.0,0.0,0.5,1.1,0.65,,0.422
portecr01,1.4,2.7,0.4,0.9,0.5,0.6,0.514,0.438,0.719
roweja01,1.3,2.8,0.5,1.7,0.5,1.0,0.471,0.3,0.5
weslebl01,1.4,3.2,0.3,1.0,0.7,1.1,0.435,0.293,0.623
thorjt01,1.3,3.0,0.3,1.1,0.8,1.1,0.424,0.286,0.682
thorjt01,1.0,1.7,0.3,0.7,0.8,0.9,0.6,0.5,0.875
thorjt01,1.5,4.0,0.3,1.4,0.7,1.3,0.364,0.2,0.571
scheiba01,1.3,3.5,0.8,2.6,0.3,0.4,0.355,0.317,0.75
tateja01,1.3,2.8,0.3,0.9,0.6,0.9,0.473,0.348,0.681
tysonja01,1.4,3.2,0.4,1.2,0.4,0.5,0.43,0.345,0.792
paytoel01,1.7,5.1,0.0,0.3,0.2,0.3,0.328,0.167,0.571
paytoel01,2.1,5.6,0.1,0.3,0.2,0.4,0.366,0.167,0.571
paytoel01,0.5,3.5,0.0,0.0,0.0,0.0,0.143,,
garzalu01,1.3,2.7,0.3,0.9,0.6,0.9,0.495,0.278,0.686
josepco01,1.2,3.1,0.8,2.1,0.3,0.4,0.403,0.364,0.778
mcderdo01,1.2,2.8,1.0,2.4,0.1,0.1,0.427,0.436,0.6
saricda01,1.3,3.6,0.4,1.6,0.4,0.6,0.362,0.269,0.7
bouyeja01,1.2,2.4,0.2,1.0,0.8,1.2,0.5,0.2,0.667
fernabr01,1.5,2.9,0.0,0.0,0.4,0.5,0.531,,0.75
jacksan01,1.4,2.9,0.4,1.1,0.2,0.4,0.477,0.395,0.5
jonesis01,1.4,2.1,0.1,0.2,0.6,0.9,0.651,0.375,0.639
knoxke01,1.3,2.6,0.3,1.1,0.4,0.6,0.5,0.267,0.75
leeda03,1.1,3.0,0.4,1.5,0.8,0.8,0.365,0.243,0.952
willije02,1.4,3.1,0.3,1.3,0.3,0.4,0.435,0.231,0.625
harklej01,1.1,3.5,0.7,2.5,0.3,0.6,0.314,0.28,0.5
nnajize01,1.2,2.5,0.3,0.9,0.5,0.8,0.496,0.327,0.614
