PlayerID,Player,Age,Pos,TeamID
robindu01,Duncan Robinson,30.0,SF,MIA
yabusgu01,Guerschon Yabusele,29.0,C,PHI
sensabr01,Brice Sensabaugh,21.0,SF,UTA
bogdabo01,Bogdan Bogdanović,32.0,SG,2TM
bogdabo01,Bogdan Bogdanović,32.0,SG,ATL
bogdabo01,Bogdan Bogdanović,32.0,SG,LAC
hawkijo01,Jordan Hawkins,22.0,SG,NOP
bostobr01,Brandon Boston Jr.,23.0,SG,NOP
jovicni01,Nikola Jović,21.0,PF,MIA
allengr01,Grayson Allen,29.0,SG,PHO
johnske07,Keon Johnson,22.0,SG,BRK
roziete01,Terry Rozier,30.0,PG,MIA
toppiob01,Obi Toppin,26.0,PF,IND
valanjo01,Jonas Valančiūnas,32.0,C,2TM
valanjo01,Jonas Valančiūnas,32.0,C,WAS
valanjo01,Jonas Valančiūnas,32.0,C,SAC
agbajoc01,Ochai Agbaji,24.0,SG,TOR
wellsja01,Jaylen Wells,21.0,SG,MEM
willigr01,Grant Williams,26.0,PF,CHO
porteke02,Kevin Porter Jr.,24.0,SG,2TM
porteke02,Kevin Porter Jr.,24.0,SG,LAC
porteke02,Kevin Porter Jr.,24.0,SG,MIL
alvarjo01,Jose Alvarado,26.0,PG,NOP
claxtni01,Nic Claxton,25.0,C,BRK
joneshe01,Herbert Jones,26.0,SF,NOP
meltode01,De'Anthony Melton,26.0,SG,GSW
joeis01,Isaiah Joe,25.0,SG,OKC
jonesty01,Tyus Jones,28.0,PG,PHO
watfotr01,Trendon Watford,24.0,PF,BRK
brookke02,Keion Brooks Jr.,24.0,SF,NOP
dortlu01,Luguentz Dort,25.0,SF,OKC
edwarju01,Justin Edwards,21.0,SF,PHI
jonesde02,Derrick Jones Jr.,27.0,SF,LAC
thompau01,Ausar Thompson,22.0,SF,DET
bouchch01,Chris Boucher,32.0,PF,TOR
nembhan01,Andrew Nembhard,25.0,SG,IND
willizi02,Ziaire Williams,23.0,SF,BRK
huertke01,Kevin Huerter,26.0,SG,2TM
huertke01,Kevin Huerter,26.0,SG,SAC
huertke01,Kevin Huerter,26.0,SG,CHI
niangge01,Georges Niang,31.0,PF,2TM
niangge01,Georges Niang,31.0,PF,CLE
niangge01,Georges Niang,31.0,PF,ATL
champju02,Julian Champagnie,23.0,SF,SAS
pippesc02,Scotty Pippen Jr.,24.0,PG,MEM
smithni01,Nick Smith Jr.,20.0,SG,CHO
carrica01,Bub Carrington,19.0,PG,WAS
moodymo01,Moses Moody,22.0,SG,GSW
coffeam01,Amir Coffey,27.0,SG,LAC
chrisma02,Max Christie,21.0,SG,2TM
chrisma02,Max Christie,21.0,SG,LAL
chrisma02,Max Christie,21.0,SG,DAL
filipky01,Kyle Filipowski,21.0,C,UTA
evbuoto01,Tosan Evbuomwan,23.0,SF,BRK
mcbrimi01,Miles McBride,24.0,SG,NYK
wilsoja03,Jalen Wilson,24.0,PF,BRK
alexani01,Nickeil Alexander-Walker,26.0,SG,MIN
anthoco01,Cole Anthony,24.0,PG,ORL
blackan01,Anthony Black,21.0,PG,ORL
strusma01,Max Strus,28.0,SF,CLE
vukcetr01,Tristan Vukcevic,21.0,C,WAS
whitmca01,Cam Whitmore,20.0,SF,HOU
richani01,Nick Richards,27.0,C,2TM
richani01,Nick Richards,27.0,C,CHO
richani01,Nick Richards,27.0,C,PHO
wareke01,Kel'el Ware,20.0,C,MIA
edeyza01,Zach Edey,22.0,C,MEM
cartewe01,Wendell Carter Jr.,25.0,C,ORL
clownno01,Noah Clowney,20.0,PF,BRK
knechda01,Dalton Knecht,23.0,SF,LAL
lawsoaj01,A.J. Lawson,24.0,SG,TOR
mccontj01,T.J. McConnell,32.0,PG,IND
missiyv01,Yves Missi,20.0,C,NOP
onealro01,Royce O'Neale,31.0,SF,PHO
butleja02,Jared Butler,24.0,SG,2TM
butleja02,Jared Butler,24.0,PG,WAS
butleja02,Jared Butler,24.0,SG,PHI
smartma01,Marcus Smart,30.0,PG,2TM
smartma01,Marcus Smart,30.0,PG,MEM
smartma01,Marcus Smart,30.0,PG,WAS
greendr01,Draymond Green,34.0,PF,GSW
hayeski01,Killian Hayes,23.0,PG,BRK
horfoal01,Al Horford,38.0,C,BOS
strawju01,Julian Strawther,22.0,SG,DEN
willipa01,Patrick Williams,23.0,PF,CHI
nurkiju01,Jusuf Nurkić,30.0,C,2TM
nurkiju01,Jusuf Nurkić,30.0,C,PHO
nurkiju01,Jusuf Nurkić,30.0,C,CHO
capelca01,Clint Capela,30.0,C,ATL
juzanjo01,Johnny Juzang,23.0,SG,UTA
kennalu01,Luke Kennard,28.0,SG,MEM
champju01,Justin Champagnie,23.0,SF,WAS
mykhasv01,Svi Mykhailiuk,27.0,SF,UTA
paulch01,Chris Paul,39.0,PG,SAS
olynyke01,Kelly Olynyk,33.0,C,2TM
olynyke01,Kelly Olynyk,33.0,C,TOR
olynyke01,Kelly Olynyk,33.0,C,NOP
finnedo01,Dorian Finney-Smith,31.0,PF,2TM
finnedo01,Dorian Finney-Smith,31.0,PF,BRK
finnedo01,Dorian Finney-Smith,31.0,PF,LAL
brissos01,Oshae Brissett,26.0,SF,PHI
caldwke01,Kentavious Caldwell-Pope,31.0,SG,ORL
colliis01,Isaiah Collier,20.0,PG,UTA
exumda01,Dante Exum,29.0,PG,DAL
georgky01,Kyshawn George,21.0,SG,WAS
hardyja02,Jaden Hardy,22.0,SG,DAL
livelde01,Dereck Lively II,20.0,C,DAL
martity01,Tyrese Martin,25.0,SG,BRK
buzelma01,Matas Buzelis,20.0,SF,CHI
jaqueja01,Jaime Jaquez Jr.,23.0,SF,MIA
walteja01,Ja'Kobe Walter,20.0,SG,TOR
hausesa01,Sam Hauser,27.0,PF,BOS
nancela02,Larry Nance Jr.,32.0,PF,ATL
rhodeja01,Jared Rhoden,25.0,SG,2TM
rhodeja01,Jared Rhoden,25.0,SG,CHO
rhodeja01,Jared Rhoden,25.0,SG,TOR
nowelja01,Jaylen Nowell,25.0,SG,NOP
wallaca01,Cason Wallace,21.0,SG,OKC
brownbr01,Bruce Brown,28.0,PG,2TM
brownbr01,Bruce Brown,28.0,PG,TOR
brownbr01,Bruce Brown,28.0,PG,NOP
bantoda01,Dalano Banton,25.0,PG,POR
clarkbr01,Brandon Clarke,28.0,PF,MEM
elliske01,Keon Ellis,25.0,SG,SAC
willibr03,Brandon Williams,25.0,PG,DAL
conlemi01,Mike Conley,37.0,PG,MIN
princta02,Taurean Prince,30.0,SF,MIL
smithja04,Jalen Smith,24.0,C,CHI
postqu01,Quinten Post,24.0,PF,GSW
watsope01,Peyton Watson,22.0,SF,DEN
mitchda01,Davion Mitchell,26.0,PG,2TM
mitchda01,Davion Mitchell,26.0,PG,TOR
mitchda01,Davion Mitchell,26.0,PG,MIA
martica02,Caleb Martin,29.0,SF,2TM
martica02,Caleb Martin,29.0,SF,PHI
martica02,Caleb Martin,29.0,SF,DAL
etienty01,Tyson Etienne,25.0,PG,BRK
sharpda01,Day'Ron Sharpe,23.0,C,BRK
simpskj01,KJ Simpson,22.0,PG,CHO
mannte01,Terance Mann,28.0,SG,2TM
mannte01,Terance Mann,28.0,SG,LAC
mannte01,Terance Mann,28.0,SG,ATL
matkoka01,Karlo Matković,23.0,PF,NOP
johnsaj01,AJ Johnson,20.0,SG,2TM
johnsaj01,AJ Johnson,20.0,SG,MIL
johnsaj01,AJ Johnson,20.0,SG,WAS
balllo01,Lonzo Ball,27.0,PG,CHI
tshieos01,Oscar Tshiebwe,25.0,C,UTA
mathega01,Garrison Mathews,28.0,SG,ATL
thybuma01,Matisse Thybulle,27.0,SG,POR
greenaj01,A.J. Green,25.0,SG,MIL
greenjo02,Josh Green,24.0,SG,CHO
holmeri01,Richaun Holmes,31.0,PF,WAS
baughda01,Damion Baugh,24.0,SG,CHO
burksal01,Alec Burks,33.0,SG,MIA
councri01,Ricky Council IV,23.0,SF,PHI
drumman01,Andre Drummond,31.0,C,PHI
jonestr01,Tre Jones,25.0,PG,2TM
jonestr01,Tre Jones,25.0,PG,SAS
